trial,day_length,peak_time,peak_time_error
1,6,5.93999995258383,0.352136865384901
1,8,7.60219786372073,0.481764654145561
1,10,8.43266636866548,0.314866953656854
1,12,9.50881658713567,0.311197475653291
1,14,10.378630871684,0.282506571732158
1,18,12.1922265340646,0.35978585138941
2,6,16.9987612671517,0.378505803154883
2,8,17.5701935703794,0.367989664396188
2,10,18.6002088639347,0.366579561193677
2,12,19.262252525508,0.371303693098774
2,14,20.0881344235814,0.383342365362142
3,5.5,19.9896947356596,0.27833292682458
3,7.5,18.4428937033653,0.282439723744862
3,9.5,19.4259564364909,0.280443352118172
3,11.5,20.0483840774487,0.277730057544477
3,13.5,20.8304851453901,0.279758677447659
3,15.5,21.3271512672231,0.282055335266944
4,4,14.4,0.382796725865481
4,6,13.305,0.288963665535992
4,8,13.30625,0.632837995518149
4,9,13.15,0.422137418384105
4,10,13.54125,0.324188547431454
4,11,14.02625,0.314548996864673
4,12,14.21875,0.636069122479179
4,13,14.905,0.570187938941434
4,14,15.36625,0.380486061317818
4,16,16.80125,0.615895109344347
4,18,18.5025,0.654997273712979
4,20,19.71875,0.801542040604951
