trial,day_length,peak_time,peak_time_error
1,6,5.93999995258383,0.352136865384901
1,8,7.60219786372073,0.481764654145561
1,10,8.43266636866548,0.314866953656854
1,12,9.50881658713567,0.311197475653291
1,14,10.378630871684,0.282506571732158
1,18,12.1922265340646,0.35978585138941
2,6,16.9987612671517,0.378505803154883
2,8,17.5701935703794,0.367989664396188
2,10,18.6002088639347,0.366579561193677
2,12,19.262252525508,0.371303693098774
2,14,20.0881344235814,0.383342365362142
3,5.5,19.9896947356596,0.27833292682458
3,7.5,18.4428937033653,0.282439723744862
3,9.5,19.4259564364909,0.280443352118172
3,11.5,20.0483840774487,0.277730057544477
3,13.5,20.8304851453901,0.279758677447659
3,15.5,21.3271512672231,0.282055335266944
4,4,13.795,0.388544291769513
4,6,12.96,0.276526068692743
4,8,13.25875,0.522724661201832
4,9,13.275,0.375461620637085
4,10,13.7425,0.282172692816699
4,11,14.305,0.237787420068553
4,12,14.6175,0.438560958460406
4,13,15.1375,0.425398972394487
4,14,15.60625,0.401672841288247
4,16,16.905,0.524703998187826
4,18,18.36,0.415554706730314
4,20,19.04875,0.499211878865079
